ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
;IFRC;Health;Safety;Ambulance Transport;1753;175318;1;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1753;175318;Barbacan;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;166707;Jubang;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1753;175316;Langogan;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1753;175318;Poblacion 1;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1753;175318;Tinitian;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1753;175318;Tinitian;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;166724;;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;166724;;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
;IFRC;Health;Safety;Ambulance Transport;1667;166724;;Finished;3;Individuals
;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;4;Individuals
;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;6;Individuals
;PRC;Relief;Non Food Items;Assorted Hygiene Kit;864;86407;Abgao;Finished;100;families
;IFRC;Health;Health;Basic Health Care Unit;1667;166707;Poblacion 3;Finished;1;unit
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;San Roque;Finished;1;Individual
;IFRC;Health;Safety;Blood Pressure Taking;722;72234;Tina-an;Finished;1;Individual
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;1;Individual
;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;1;Individual
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;2;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;2;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;2;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;2;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;3;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;4;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;4;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;4;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;5;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1753;175318;Magara;Finished;5;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;722;72217;Pahina Central;Finished;5;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;5;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Rizal;Finished;5;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;5;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;5;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;5;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;6;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;864;86406;Poblacion;Finished;7;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;11;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;12;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;12;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;13;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71201;Punong;Finished;13;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71201;Punong;Finished;13;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Bankal;Finished;14;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;14;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Capalayan;Finished;15;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;15;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;15;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71228;Agape;Finished;16;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71243;Poblacion;Finished;16;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;16;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71246;Central;Finished;18;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71245;Kawayanan;Finished;18;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;18;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Canjulao;Finished;20;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71228;Villa Limpia;Finished;20;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;21;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;21;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Buaya;Finished;22;Individuals
;PRC;Health;Safety;Blood Pressure Taking;619;61914;Culasi;Finished;22;individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;22;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;722;72214;Perrelos;Finished;24;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;24;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71228;Sitio Alapog Kalbaryo;Finished;24;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;722;72230;Jagobiao;Finished;25;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;25;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Looc;Finished;26;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71245;Paca-Paca;Finished;26;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;28;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71245;Centro;Finished;29;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1753;175318;Tinitian;Finished;29;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71229;Camay- An;Finished;30;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71248;Tuboran;Finished;30;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71214;Poblacion Sur;Finished;32;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;San Roque;Finished;32;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;San Roque;Finished;32;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166716;Consolacion;Finished;33;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71246;Poblacion;Finished;33;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Punta Bilar;Finished;33;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Mactan;Finished;37;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71245;Kawayanan;Finished;38;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;722;72250;Dumlog;Finished;39;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71224;Lutao;Finished;41;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71243;San Isidro;Finished;41;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71243;Central;Finished;45;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;45;Individuals
;PRC;Health;Safety;Blood Pressure Taking;619;61914;Banica;Finished;55;individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;55;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;55;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71214;Bonbon;Finished;56;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71214;Poblacion Norte;Finished;56;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Mactan;Finished;57;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1753;175318;Minara;Finished;57;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Canjulao;Finished;60;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;1753;175318;Poblacion 1;Finished;73;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71246;Poblacion;Finished;78;Individuals
;IFRC;Health;Safety;Blood Pressure Taking;712;71246;Poblacion;Finished;80;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;113;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Looc;Finished;200;Individuals
;PRC;Health;Safety;Blood Pressure Taking;722;72226;Canjulao;Finished;360;Individuals
;PRC;MDM;MDM;Cadaver Bag;1753;175318;Poblacion;Finished;10;individuals
;PRC;MDM;MDM;Cadaver Bag;1753;175318;Poblacion;Finished;45;individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;722;72241;South Poblacion;Finished;48;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;1753;175318;Minara;Finished;50;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71246;Poblacion;Finished;80;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71243;Central;Finished;85;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;722;72250;Dumlog;Finished;104;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;1753;175316;Langogan;Finished;116;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;1753;175318;1;Finished;177;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71246;Poblacion;Finished;250;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71246;Poblacion;Finished;300;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71224;Lawis;Finished;308;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71209;Asinan;Finished;332;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71224;Lutao;Finished;334;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71246;Central;Finished;385;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71243;Poblacion;Finished;507;Individuals
;IFRC;Welfare;PSS;Child Friendly Space Activities;712;71248;Tuboran;Finished;508;Individuals
;IFRC;ERU;Clearing;Clearing;722;72250;Mohon;Finished;15;cubic meters
;IFRC;ERU;Clearing;Clearing;722;72217;Escario to Careta;Finished;60;cubic meters
;IFRC;ERU;Clearing;Clearing;722;72217;Apas;Finished;110;cubic meters
;IFRC;Health;Health;Face Mask;722;72234;Lutac;Finished;3;Individuals
;IFRC;Health;Health;Face Mask;722;72234;South Poblacion;Finished;3;Individuals
;IFRC;Health;Health;Face Mask;722;72234;Tuyan;Finished;5;Individuals
;IFRC;Health;Health;Face Mask;722;72234;West Poblacion;Finished;9;Individuals
;IFRC;Health;Health;Face Mask;722;72214;Napo;Finished;15;Individuals
;IFRC;Health;Health;Face Mask;722;72234;Bairan;Finished;16;Individuals
;IFRC;Health;Health;Face Mask;722;72234;Tangke;Finished;17;Individuals
;IFRC;Health;Health;Face Mask;722;72230;Jagobiao;Finished;30;Individuals
;IFRC;Health;Health;Face Mask;722;72234;Langtad;Finished;35;Individuals
;IFRC;Health;Health;Face Mask;722;72234;North Poblacion;Finished;49;Individuals
;IFRC;Health;Health;Face Mask;712;71224;Lawis;Finished;60;Individuals
;IFRC;Health;Health;Face Mask;722;72217;Dumlog;Finished;70;Individuals
;IFRC;Health;Health;Face Mask;722;72234;Inoburan;Finished;76;Individuals
;IFRC;Health;Health;Face Mask;712;71209;Asinan;Finished;87;Individuals
;IFRC;Health;Health;Face Mask;722;72234;Tina-an;Finished;88;Individuals
;IFRC;Health;Health;Face Mask;712;71214;Poblacion Norte;Finished;90;Individuals
;IFRC;Health;Health;Face Mask;712;71246;Poblacion;Finished;133;Individuals
;IFRC;Health;Health;Face Mask;712;71246;Central;Finished;150;Individuals
;IFRC;Health;Health;Face Mask;712;71248;Tuboran;Finished;150;Individuals
;IFRC;Health;Health;Face Mask;712;71243;Poblacion;Finished;151;Individuals
;IFRC;Health;Health;Face Mask;712;71224;Lutao;Finished;159;Individuals
;IFRC;Health;Health;Face Mask;712;71245;Paca-Paca;Finished;160;Individuals
;IFRC;Health;Health;Face Mask;712;71245;Centro;Finished;190;Individuals
;IFRC;Health;Health;Face Mask;712;71214;"Poblacion Sur
";Finished;208;Individuals
